Username,Twitter Handle,Timestamp,Comments,Retweets,Likes,Text
Fried Rice,@hsiang_lo,2023-02-09T06:53:28.000Z,,,,How will #TSLA price go at 01/Mar
topstonks,@topstonks,2023-02-09T06:52:37.000Z,,,,"$TSLA seeing an uptick in chatter on wallstreetbets over the last 24 hours

Via http://topstonks.com/stocks/TSLA?st_tsla…

#tsla    #wallstreetbets  #daytrading"
Leo Ma,@moka_bingsha,2023-02-09T06:50:08.000Z,,,1,It's incredible to see Tesla stock continuing to rise despite a downturn in the market. It's a testament to the company's strong fundamentals and potential for future success. #TeslaStock #Nasdaq #TSLA
schy,@schyofficial,2023-02-09T06:45:00.000Z,,,,"You did it Mary, you led and it matters #GM #Tesla #TSLA"
SoundsgoodTFtalks,@t_ftalk,2023-02-09T06:43:52.000Z,,,,"$TSLA #TSLA Even you are a TSLA lover, you still need to be cautious and be aware of the risk. And this $20 range trade will not be easy. And this is exactly why you should NOT TO DO when you trade or invest. "
Insider transactions,@BELinsidertrade,2023-02-09T06:10:11.000Z,,,,"Feb 08: insiders sold (3/4):
#POWI $1.276.904
#CR $983.545
#BOKF $771.000
#TSLA $723.750
#EAT $631.926
#BILL $573.844
#MTSI $437.780
#TRNS $436.490
#AMZN $411.600
#VRTX $399.022
#AMT $380.128
#MKTX $348.730
#ZION $326.510
#AVTE $307.493
#PGNY $306.995
#EXPO $306.642"
Alphatrader,@alphatrades7,2023-02-09T05:48:14.000Z,,,2,"$tsla #TSLA 

Lookout for my tweet in pre-market hours

$spy $spx"
Richard Hofman,@Rahraw999,2023-02-09T05:47:37.000Z,,2,6,"#Law #MMTLP  #Tsla WIN 20230208 09 47 25 Pro https://youtu.be/YyOQQKXHC98 via 
@YouTube"
Wagner Brasil sobre tudo.,@WagnerTesla,2023-02-09T05:42:05.000Z,,,,Now let's shoot for $300 before Investor's Day.  #TSLA
RGTV ZONE,@rgtv_zone,2023-02-09T05:38:50.000Z,,,2,#ElonMusk $TSLA #Tesla #TSLA #TeslaStock #Masterplan3
Businesblog,@Businesblog5,2023-02-09T05:30:13.000Z,1,4,4,Tesla loses to EV challenger https://businesblog.com/tesla-loses-to-ev-challenger/… #TSLA #Tesla
BIGWiCKNiC47,@BIGWiCKNiC47,2023-02-09T05:28:49.000Z,,,,#TSLA OH BOY! Could be big ups tomorrow let’s see how this plays out. #SPY
JJ,@JJ39132147,2023-02-09T05:25:54.000Z,,,,"#TSLA now trying to get others to buy their stocks at the premium price, USD200++ above."
