Username,Twitter Handle,Timestamp,Comments,Retweets,Likes,Text
scistock,@beaker192,2023-03-09T02:12:10.000Z,,,,Daily chart bullish swing flagged for $AAPL on 03-08-2023 calculated after market close with unusual options flow. #bullishswing #AAPL #unusualoptionsflow #stockmarket #stocks #investing #trading
Stan N,@stannabozny,2023-03-09T02:05:09.000Z,,1,,The Big Five #FAANG Stock and Sector Service is now posted for Wednesday #AMZN #AAPL #FB #NFLX #TSLA #GOOGL and  Sector Funds - #IBB #IYR #XLE #XLE #XLF #XLK #XRT    (link: http://theartofchart.net)   #trading #investing #FinancialFreedom
Joel T Connor,@JoelTConnor,2023-03-09T01:35:14.000Z,,,1,#AAPL hanging tough near it’s recent highs
scistock,@beaker192,2023-03-09T01:32:09.000Z,,,,Daily chart inside bar flagged for $AAPL on 03-08-2023 calculated after market close with unusual options flow. #insidebar #AAPL #unusualoptionsflow #stockmarket #stocks #investing #trading
"Simon, o Bot",@fintwitbr,2023-03-08T21:31:23.000Z,,,,"Bolsas de NY fecham mistas, após discurso de Jerome Powell sobre juros do Fed
 (Estado)
#SP500 #DJIA #NASDAQ #NASD #AAPL #AAPL34"
C.R.E.A.M. Trades,@CREAM_TRADES,2023-03-08T21:11:40.000Z,,,,"$SPY CLOSED GREEN - Can we see the same action we had Feb 24th?  (OJ ARROW ON CHART) Anticipating a big move next 2 days. 
#expecttheunexpected #AAPL #MSFT #CRWD"
إگــ ـــه,@wellyalsomiri,2023-03-08T20:56:04.000Z,,1,,"#amzn 
كول سترايك 95 ينتهي الجمعه القادمه 

سعر الدخول 0.65 
اهداف السهم : 
95
96 

بالتوفيق 

#tsla #aapl #spx"
Optionshunter,@optionshunterr,2023-03-08T20:44:57.000Z,,,,"#SPX #QQQ #AAPL #AMZN #TSLA 
$SPX Strong bounce towards the close. Lets see if it closes around $4000"
_jesus_,@_jesus_82,2023-03-08T20:18:58.000Z,,,1,#AMZN #MMM #AAPL
Günlük Fon Fiyatları,@FonGunluk,2023-03-08T18:59:01.000Z,2,2,4," GBG (Inveo Portföy G-20 Ülkeleri Yabancı Hisse Senedi Fonu) Şubat Ayı Varlık Dağılımı

En Çok Bulunan Yabancı Hisse Senetleri 

AAPL: %4,43
PYPL: %3,51
BABA (Alibaba): %2,66
JPM (JP Morhan): %2,53
VOD (Vodafone): %2,48

#aapl #pypl #gbg #yatırımfonu #jpm #nasdaq #bist"
SpxLover,@spx_lover,2023-03-08T18:45:29.000Z,,,,"#spx #spy #options #Tesla #AAPL #اوبشن #السوق_الامريكي  #سباي #سباكس #spy #qqq #QQQ #السوق_الامريكي 

صفقات يوم الاربعاء ومناطق الدخول للعقد من القمة 

http://t.me/SpxLover"
mark,@markpenquino,2023-03-08T18:41:34.000Z,,,,#AAPL SOME ANAYLST need s to run out mid day and upgrade you for 50 th time  Short appl
topstonks,@topstonks,2023-03-08T18:24:10.000Z,,,,"$AAPL seeing an uptick in chatter on wallstreetbets over the last 24 hours

Via http://topstonks.com/stocks/AAPL?st_aapl…

#aapl    #wallstreetbets  #investors"
م.أبو سعود,@abosssaud,2023-03-08T18:06:26.000Z,,,,"#AAPL الهدف 155 الوقف 152.40 
#CALL"
"Gabriel L., PharmD,",@InceptionCharts,2023-03-08T15:33:50.000Z,,,,$AAPL #AAPL - moving the market left and right-
Stock Dividend USA,@DividendUsa,2023-03-08T15:00:00.000Z,,,,"AAPL went up today $152.89
AAPL is up 0.8509%
#stocks #investments #AAPL.US"
Proactive USA,@proactive_NA,2023-03-08T14:24:03.000Z,,,1,$AAPL Apple maintains ‘Outperform’ rating with higher price target from Wedbush analysts on improved demand story https://tinyurl.com/2fendga7 #AAPL
topstonks,@topstonks,2023-03-08T14:13:45.000Z,,,,"$AAPL seeing an uptick in chatter on wallstreetbets over the last 24 hours

Via http://topstonks.com/stocks/AAPL?st_aapl…

#aapl    #wallstreetbets  #stocks"
StocksAfterDark,@StocksAfterDark,2023-03-08T14:12:58.000Z,1,2,20,"Game Plan like / retweet

$SPY #SPY $MSFT #MSFT $AAPL #AAPL $AMZN #AMZN $QQQ #QQQ"
tabvendor,@tabvendor,2023-03-08T13:55:36.000Z,,,,"EV/EBITDA'ya göre ise 143 dolar hedef fiyat buldu.
Şu anki hisse fiyatına oldukça yakın fiyatlar. Ancak direk hisse fiyatından kopya çekmeden, gerçek bir değerleme yöntemi ile bu fiyata ulaştı.
Sizce bulduğu fiyat ne kadar mantıklı? #AAPL #Borsa #Bist100 #ChatGPT"
tabvendor,@tabvendor,2023-03-08T13:55:33.000Z,1,,5,"ChatGPT'ye hisse soralım, bakalım neler yapabiliyor dedik bugün. #AAPL (Apple) hissesini sorduk.
Apple'a benzer hisseleri bul, bunların P/E, EV/EBITDA gibi önemli temel oranlarını bul ve ortalamalarını al dedik. Sonra bu oranlara göre bi Apple hedef fiyatı çıkar dedik. #Borsa"
Mr. Tucker,@Tuckerolexxx,2023-03-08T13:21:21.000Z,,,,Multi Tasking  #tesla #tsla #BTC #AAPL #Optionselling #options #Trader
Barati,@Barati901,2023-03-08T13:01:31.000Z,,,,"$AAPL #AAPL 
Calls: 
at $151-$150.40 (A++set up)
Puts:
at $154 if we get rejected"
recaptrader english version,@RecaptraderV,2023-03-08T06:16:49.000Z,,,,"Wednesday's Market Recap Daily has been sent and in our members mailboxes. 

#Powell #BTC $AEX #DJI $TKH #AAPL #ETH #yields"
recaptrader,@recaptrader,2023-03-08T06:15:34.000Z,1,,,"De Market Recap Daily van woensdag is verstuurd en in de mailbox van onze leden. 

#Powell  #BTC  $AEX #DJI $TKH #AAPL #ETH #rente"
FPL,@FPL_Trading,2023-03-08T05:55:23.000Z,,,,"$AAPL $QQQ $SPY $SPX 

AAPL > triple rejection at 61.8% Fib retracement

——
#aapl #sp500 #trading"
CurtisJohnston,@curtijohnston,2023-03-08T04:19:36.000Z,,,,#ASTS is heavily invested by #ATT.  #AAPL  heavily invested with #ATT.  What a team.  Triple #AAA.   THOUGHTS
MR,@rp_fxtr,2023-03-08T03:56:19.000Z,,,,"$AAPL: Gráfico #AAPL en 
@TradingView"
北欧老李,@Liru198907,2023-03-07T22:05:37.000Z,,,1,"今日美股热点新闻｜鲍威尔放鹰｜富士康跑路印度｜2月中国新能源车销量排行｜财经观察站 #美股分析 #byd #tsla #aapl https://youtu.be/ho6CCQxyhvo via 
@YouTube"
Stock King Options,@stockkingoption,2023-03-07T22:04:17.000Z,,,,"$AAPL Stock options trading made simple with entry and exit signals #AAPL
-
 32% Profit
-
 Join our Platinum Trading Room. 
-
Link in bio or DM us to join.
-
#Stockoptions #stockoptionstrading #stockoption #stockmarket #startinvesting #stockmarkettips #optionstrader #optio…"
フィニット@ITエンジニア + 金融,フィニット@ITエンジニア + 金融,2023-03-07T22:00:32.000Z,,,,"#米国株 #AAPL
             companyName：Apple Inc.
            株価：151.6$
            値動き($)：-2.23$
            値動き(%)：-1.45%"
DAYM24,@Charts_info9,2023-03-07T21:36:07.000Z,,,,"#السوق_الامريكي 
#AAPL
#SPX"
Jeff,@escaperabbit,2023-03-07T21:03:32.000Z,3,18,30,"Makes me happy to see how much value #SOFI has lost since 2021. 

#CancelStudentDebt #SPY #QQQ  #URNM #AAPL #C #AMZN #MNST #PRPFX #VCMDX"
Rampage Trading,@rampage_trading,2023-03-07T16:00:05.000Z,1,,1,"Counter Trend Bounce and Rising Credit Spread Equals Market Distress https://youtu.be/oP24xbz7PDs 

#sp500 #sp500technicalanalysis #sp500today #marketcrash #marketcrash2023 #stockmarketanalysis #countertrend #marketdistress #bearmarket #reliefrally #putoption #aapl #spystock #spy"
