Username,Twitter Handle,Timestamp,Comments,Retweets,Likes,Text
がす ｜ テスラおじさん,@Gusfrin92486024,2023-03-08T01:14:20.000Z,,,2,"新しいHW4カメラの解像度とFPS
#TSLA"
RoboStox,@hello_robostox,2023-03-08T01:02:09.000Z,,,," New SEC Filing Alert!

Tesla, Inc. filed Form 4 at 08:01PM (NYC Time).

(Form 4 provides details on the buying or selling of stock by company insiders.)

More SEC info here: https://bit.ly/41Q7eL8
$TSLA #TSLA"
RoboStox,@hello_robostox,2023-03-08T00:59:29.000Z,,,," New SEC Filing Alert!

Tesla, Inc. filed Form 4 at 07:58PM (NYC Time).

(Form 4 provides details on the buying or selling of stock by company insiders.)

More SEC info here: https://bit.ly/3YyIOTw
$TSLA #TSLA"
ets Do This Trade,@LetsDoThisTrade,2023-03-07T23:25:09.000Z,,,,"Very busy day at work but managed to pull off a green trade.

#optiontrading #StockMarket
#SPY #TSLA #StocksToTrade #stockmarketcrash

$SPY $TSLA $AMZN $NVDA $AMD"
"S.E. Robinson, Jr.",@SERobinsonJr,2023-03-07T23:19:29.000Z,,1,2,"Neuralink just posted!
$TSLA #TSLA 
@elonmusk
 #Singulairity #bandwidth #medicaldevices"
TESLA BULL,@BestTrader01,2023-03-07T23:16:09.000Z,1,1,11,"$TSLA #TSLA = NOTHING CHANGED - Our Monthly and Weekly Chart Intact. Closed the $194 Gap. Let's Close the $202 by the end of this Week. X - Marked the Price Gaps. MACD + RSI turning on the Monthly!

$318 = $955 (Pre-Split - Ultimate Target) 
$287 
$267 
$249 
$238 
$202 = 3/2/23"
€hrîstîan,@GreekBoyTrades,2023-03-07T22:58:50.000Z,1,,2,"$TSLA feels similar to beginning of 2023 but instead of accumulation it could be distribution. Sitting right on anchored vwap support with a HUGE gap to fill between 144-160. Depending on data tomorrow we could see a pretty significant break to the downside
#TSLA #stocks"
macewan,@macewan,2023-03-07T22:58:49.000Z,,,,He runs #TSLA & has returned great profit. The future is looking great. What’s your whining about? Twitter will turn a profit by second quarter.
ロカボスタイル,@Lowcarb_Style,2023-03-07T22:08:53.000Z,,,,"世界の輸出拠点、テスラギガ上海にて驚異の「テスラスピード」で生産されるテスラモデルY https://lowcarb.style/2023/03/08/tesla-giga-shanghai-21/…

こんな恐ろしいスピードでどんどん作るから余る…

#テスラ #ギガ上海 #モデルY #TSLA"
ロカボスタイル,@Lowcarb_Style,2023-03-07T22:06:11.000Z,,1,1,"テスラがインベスター・デイで明らかにした、今後5年で車両製造コストを50％削減する方法 https://lowcarb.style/2023/03/08/tesla-reduce-vehicle-costs/…

もはや他の自動車メーカーは追いつけないのかと

#テスラ #TSLA #インベスターデイ"
北欧老李,@Liru198907,2023-03-07T22:05:37.000Z,,,1,"今日美股热点新闻｜鲍威尔放鹰｜富士康跑路印度｜2月中国新能源车销量排行｜财经观察站 #美股分析 #byd #tsla #aapl https://youtu.be/ho6CCQxyhvo via 
@YouTube"
FIRE48,@tothemoon1980,2023-03-07T22:05:26.000Z,,,,Going down #tsla
Stock Dividend USA,@DividendUsa,2023-03-07T22:00:00.000Z,,,,https://investorplace.com/2023/03/7-cathie-wood-stocks-for-your-march-buy-list/…  #ADYEY #CAT #CRSP #MGA #NTLA #NVDA #TSLA #News
BTC太郎(Taro),@US_Stock_BTC,2023-03-07T21:42:20.000Z,,,1,"#tsla #lcid #ffie #rivn #lazr 
大事な話ですが、#RIVN 買い増しします"
がす ｜ テスラおじさん,@Gusfrin92486024,2023-03-07T20:48:37.000Z,1,4,28,ニュース: 本日、テスラはサイバートラックのホイールのデザイン特許を取得しました。 #TSLA
GIRGIRINA (CİHAN T.),@varantking,2023-03-07T20:47:50.000Z,,1,8,"#TSLA #VWAGN #AMZN #BMWAG 
#kozaa #kozal #sasa #asels #sise #ipeke #eregl #ereğli #krdmd #bist #bist100 #viop  #hekts  #asels #thyao #kchol #odas #sahol #toaso #thyao #pgsus #froto #petkm #toaso #froto #kchol #varant #viop #sasa #borsa #varant"
Mind Math Money,@MindMathMoney,2023-03-07T20:39:33.000Z,,,,"Is the #TeslaStock about to drop lower now? 

A new $TSLA update is out on YouTube! 

Link: https://youtu.be/Yv-c1yKXqfY

#TSLA #TSLAUSD #stockmarket #stockmarketcrash #stocktrading #stocks #stockstowatch #stockstobuy"
Robyn Altucher,@stirfrychasesg1,2023-03-07T20:32:27.000Z,,,,"Tesla Megapack powers £75M BESS in Europe, the continent's largest #tsla"
Virtuousur,@virtuousur,2023-03-07T20:31:48.000Z,,,,Pumping like the master pumper he is. #Twitter #TSLA
GIRGIRINA (CİHAN T.),@varantking,2023-03-07T20:13:35.000Z,1,4,23,"DEPREM SONRASI #COİN HARİÇ 
#BİST #VARANT  

#TSLA #VWAGN #AMZN #BMWAG 
#kozaa #kozal #sasa #asels #sise #ipeke #eregl #ereğli #krdmd #bist  #hekts  #asels #thyao #kchol #odas #sahol #toaso #thyao #pgsus #froto #petkm #toaso #froto #kchol #varant #viop #sasa #borsa #varant"
Oracle Investments,@oracletim1,2023-03-07T18:41:19.000Z,3,,8,"Work training event with 
@STIHLUSA
 and they are generous enough to provide lunch. And I Stihl made good choices.  thank you Stihl for providing excellent training, products, and food. #health #trending #viral #Tesla #beachbody #TSLA #motivation #waterfall #nature #TeslaStock…"
TESLA BULL,@BestTrader01,2023-03-07T18:36:41.000Z,3,,9,"Benzinga just coppied my charts! $TSLA #TSLA - I need to start charging these Amateurs!

https://benzinga.com/trading-ideas/long-ideas/23/03/31241704/tesla-drops-to-print-this-bullish-pattern-heres-what-could-happen-if-it-holds…"
ASuPrEmE,@ASuPrEmE01,2023-03-07T18:32:49.000Z,,,7,Time to enjoy the day  Banger day again trade recap coming later! #SPY #QQQ #TSLA
baddriver2020,@baddriver20202,2023-03-07T18:29:59.000Z,,,2,$TSLA  Another #TSLA Safety & Accident concern!!! Tesla Cybertruck windshield wiper leaves a lot of the window dirty - Business Insider
TESLA BULL,@BestTrader01,2023-03-07T18:29:18.000Z,1,1,8,"$TSLA #TSLA = You Think TESLA Hit $202 Today!

Let's See - It would AWESOME!"
Stock Hustle,@StockHustle85,2023-03-07T17:45:30.000Z,,,,#TSLA $TSLA testing yesterdays low  #FollowTheFlow
Yoona,@lastadam,2023-03-07T17:37:30.000Z,1,1,5,$TSLA #TSLA Dealer delta for 3/10 3DTE suggests they are resisting moves outside 187.5-215.
ProSignalsFx,@prosignals_fx,2023-03-07T17:25:50.000Z,,,,"TESLA WILL GO DOWN|SHORT - #TSLA chart on 
@TradingView"
Leo Ventures,@leoventuresllc,2023-03-07T17:23:49.000Z,,,1,Tesla..What Can You Say!! #tesla #tsla #stock #stockmarket #options #money #cars #tech #technology
Gornagraphic,@gornagraphic,2023-03-07T17:23:16.000Z,,,,The chance of a 50 basis hike this month doubled today and tech stocks are still green. NVDA just hit high of the day. MM is that you? #NVDA #TSLA #AAPL #stockmarketcrash #trading #SPY #qqq #nasdaq
Landingo69,@landingoparty69,2023-03-07T16:34:14.000Z,,,,LISTEN! $SOBR #SOBR #charting #charts #TradingView #studies $SATX #SATX $MSGM #MSGM $TRKA #TRKA $PBLA #PBLA $SBEV #SBEV $VTGN #VTGN $CDIO #CDIO $ATOS #ATOS $LIPO #LIPO $CZOO #CZOO $SFR #SFR #CNBC #Bloomberg $AMC $TSLA #TSLA $BBBY $SPY #SPY #Watchlist #Stocks #Daytrader #swinger
Stock Market Jobber,@StockJobberOG,2023-03-07T16:27:17.000Z,,,,"TSLA - Technical Analysis Lesson   3-7-23   #tsla #technicalanalysis https://youtu.be/xfalnIzZluY via 
@YouTube
  this #trendingvideo on $TSLA you can't get this kind of #knowledge from anyone other than a #marketmaker check out 
@StockJobberOG
 4 #stockmarketnews 
$SPY
#Keepitsimple"
Jeff White,@ducatiwhite,2023-03-07T16:26:39.000Z,1,,,"The emperor has no clothes!
#tsla"
NOC1001,@ZechsMarquie,2023-03-07T16:20:53.000Z,,,,"$TSLA - 1h : #TSLA has produced the following harmonic trading signal. Fully formed patterns are green(bull)/red(bear), forming are yellow(bull)/purple(bear). Support this service by following or tipping :-)"
𝕀ℕ𝕍𝔼𝕊𝕋𝕆ℝ™,@teslanomics2023,2023-03-07T16:20:23.000Z,,,,#TSLA
NOC1001,@ZechsMarquie,2023-03-07T16:20:13.000Z,,,,"$TSLA - 1h : #TSLA has produced the following harmonic trading signal. Fully formed patterns are green(bull)/red(bear), forming are yellow(bull)/purple(bear). Support this service by following or tipping :-)"
Jacob Jones,@TraderJonesy,2023-03-07T15:21:15.000Z,,,,$TSLA #TSLA $190 snapped. Current at $187. Looking to go long at $180! Stop loss at a break below $178. This trade will probably fail because I am currently seeing $140 - $150. But it’s worth going long catching a bounce at $180. Just don’t hold if it snaps.
ezprimetrader,@ezprimetrader,2023-03-07T15:21:07.000Z,,,,"+$54 in 30 minutes | $2K Small Account Trade Log
Flat market this morning with everybody waiting for Fed speech. Got chopped early after forcing a trade, but made a good call scalp on the bounce after 10 min flush at 10am.
#daytrading #OptionsTrading  #TSLA"
TESLA BULL,@BestTrader01,2023-03-07T15:17:35.000Z,2,3,31,$TSLA #TSLA = Bought more TESLA Stock! Let's GO!
Franco James,@iwillbuymodelS,2023-03-07T15:10:28.000Z,,,,"That's it, #tsla to 160 as per PR daily claims."
EYES ON NEWS,@EYESON_NEWS,2023-03-07T15:09:53.000Z,,1,1,"GOOD DAY FOLKS~

√√#APE 1.76 USD+0.0100 

#AMC 6.22 USD−0.030 (0.48%)

#MULN 0.22 USD−0.014 (5.35%)

#TSLA 188.24 USD−5.57 (2.88%)

#GME 18.39 USD−0.26 (1.39%)

#GNS 3.61 USD−0.19 (5.00%)

#BBBY 1.34 USD−0.055 (3.96%)"
